City,Category Name,Grade,Avg Growth Rate
HILLS,AMERICAN VODKAS,high,0.4115529873457542
RUTHVEN,SPICED RUM,low,0.4115159658552007
LE GRAND,CREAM LIQUEURS,low,0.4114048176664724
ARNOLDS PARK,IMPORTED DRY GINS,low,0.41133675498551875
CENTER POINT,WHISKEY LIQUEUR,low,0.41132625774689796
POLK CITY,TENNESSEE WHISKIES,high,0.4112810886395107
NEW HAMPTON,IMPORTED BRANDIES,low,0.41123125829326473
POCAHONTAS,IMPORTED CORDIALS & LIQUEUR,low,0.41101684107254416
ALBURNETT,STRAIGHT BOURBON WHISKIES,low,0.4109076677261549
CEDAR FALLS,IMPORTED BRANDIES,high,0.41089328926802793
DALLAS CENTER,CANADIAN WHISKIES,low,0.4108409551590098
BETTENDORF,IMPORTED DISTILLED SPIRIT SPECIALTY,low,0.41055702488251616
MAPLETON,TEMPORARY & SPECIALTY PACKAGES,mid,0.4105411764705883
ANAMOSA,IRISH WHISKIES,high,0.41031746031746036
CONRAD,TENNESSEE WHISKIES,low,0.41010914012115673
CORALVILLE,TENNESSEE WHISKIES,high,0.4100892217262335
CEDAR FALLS,GOLD RUM,high,0.41004784688995216
CENTER POINT,AMERICAN DRY GINS,low,0.40995188491660944
ADAIR,SPICED RUM,low,0.4098473491002279
URBANDALE,TENNESSEE WHISKIES,high,0.4096895616724205
GOLDFIELD,SPICED RUM,low,0.40959295154686287
DES MOINES,IMPORTED BRANDIES,high,0.4095587987660316
CRESCENT,WHISKEY LIQUEUR,low,0.40948964110158187
LOHRVILLE,AMERICAN SCHNAPPS,low,0.4094653292453323
CORALVILLE,WHISKEY LIQUEUR,high,0.409228469486337
IDA GROVE,CREAM LIQUEURS,high,0.4091708436241654
BUFFALO CENTER,IMPORTED VODKAS,low,0.4091327919741832
TIPTON,MIXTO TEQUILA,low,0.40905715332623843
NEOLA,STRAIGHT BOURBON WHISKIES,low,0.4089960119019127
FOREST CITY,TEMPORARY & SPECIALTY PACKAGES,mid,0.4089333333333333
CARTER LAKE,COCKTAILS/RTD,low,0.408930864844826
CEDAR FALLS,AMERICAN DRY GINS,mid,0.40888102957068556
SLATER,WHITE RUM,low,0.4088502368674057
ODEBOLT,WHISKEY LIQUEUR,low,0.4087393763054315
OSKALOOSA,AMERICAN VODKAS,high,0.40863151742607234
WAPELLO,FLAVORED RUM,low,0.40861865887681487
RAYMOND,NEUTRAL GRAIN SPIRITS FLAVORED,low,0.4084507042253521
MARQUETTE,IMPORTED DRY GINS,low,0.4083333333333332
ELDORA,IMPORTED FLAVORED VODKA,low,0.40827586557377366
KNOXVILLE,AGED DARK RUM,low,0.40817876753062804
KEOSAUQUA,FLAVORED RUM,low,0.40800758432175904
GUTHRIE CENTER,WHISKEY LIQUEUR,low,0.407685388760775
PELLA,WHISKEY LIQUEUR,high,0.40752322159051557
SWISHER,TRIPLE SEC,low,0.4074074074074076
LA PORTE CITY,SPICED RUM,high,0.4074074074074076
AKRON,TENNESSEE WHISKIES,low,0.4072166939388764
DES MOINES,IMPORTED DISTILLED SPIRIT SPECIALTY,low,0.40715235465897703
MARQUETTE,TENNESSEE WHISKIES,low,0.4069897224614046
MAYNARD,SPICED RUM,low,0.4068823008455204
NEW HAMPTON,STRAIGHT BOURBON WHISKIES,low,0.4067285835250927
EARLY,CANADIAN WHISKIES,low,0.40658348982872905
OAKLAND,IMPORTED DRY GINS,low,0.40650268014351837
MORAVIA,IRISH WHISKIES,low,0.40649554931239124
CHARLES CITY,TEMPORARY & SPECIALTY PACKAGES,high,0.4064817745329847
SIGOURNEY,COCKTAILS/RTD,low,0.4064771106413508
FAIRFIELD,IMPORTED BRANDIES,low,0.40644143540744376
SHELLSBURG,WHISKEY LIQUEUR,low,0.4064147274101384
WASHINGTON,100% AGAVE TEQUILA,high,0.4063793458388824
ADEL,STRAIGHT BOURBON WHISKIES,low,0.4063587996931268
MISSOURI VALLEY,CANADIAN WHISKIES,high,0.40627502165232937
CORALVILLE,IMPORTED BRANDIES,low,0.40626334990758545
DUBUQUE,AMERICAN FLAVORED VODKA,high,0.40588698278625074
DUBUQUE,WHISKEY LIQUEUR,high,0.40587874561018183
ONAWA,WHISKEY LIQUEUR,low,0.4058024205717061
POLK CITY,AMERICAN FLAVORED VODKA,low,0.4055265948849665
WALKER,TENNESSEE WHISKIES,low,0.405243231463908
BUFFALO CENTER,TENNESSEE WHISKIES,low,0.4052007335318846
FAIRBANK,IMPORTED SCHNAPPS,low,0.4051588343742302
DAKOTA CITY,STRAIGHT BOURBON WHISKIES,low,0.4051103893104086
NEWTON,IMPORTED SCHNAPPS,high,0.4047957381423955
MAQUOKETA,TEMPORARY & SPECIALTY PACKAGES,high,0.40476534385395685
SHUEYVILLE,AGED DARK RUM,low,0.40459493938307445
SWISHER,IMPORTED VODKAS,high,0.40454670993127523
TABOR,STRAIGHT BOURBON WHISKIES,low,0.404410920767567
CRESCO,SINGLE MALT SCOTCH,mid,0.4043564703663253
NORWALK,AMERICAN FLAVORED VODKA,high,0.4041747568041448
GOWRIE,IMPORTED CORDIALS & LIQUEUR,low,0.40410231101397914
SPRINGVILLE,FLAVORED RUM,low,0.4040628706998814
MISSOURI VALLEY,MIXTO TEQUILA,high,0.40404040404040403
SIGOURNEY,AMERICAN FLAVORED VODKA,low,0.4038890750273528
TIFFIN,AMERICAN DRY GINS,mid,0.403846153846154
CENTER POINT,SPICED RUM,high,0.4038231780167263
