_c0,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,latitude,longitude,City
25,6252,3,1412,226758.44,1,1,1,111,1,6252,2022-11-01,KWIK SPIRITS #1191 / FORT DODGE,A,1923 5TH AVENUE SOUTH,IA,50501,42.501169,-94.170859,FORT DODGE
26,4249,3,559,72191.32,1,3,2,132,1,4249,2022-11-01,FAREWAY STORES #048 / CLARINDA,A,115 ESSIE DAVISON DRIVE,IA,51632,40.724008,-95.040293,CLARINDA
27,2550,6,1354,207233.18,3,1,1,311,1,2550,2022-11-01,HY-VEE FOOD STORE / OSCEOLA,A,510 WEST MCLANE,IA,50213,41.030569,-93.77321,OSCEOLA
28,4665,5,1311,104547.27,2,1,2,212,1,4665,2022-11-01,CASEY'S GENERAL STORE #2896 / ANKENY,A,2601 SE CREEKVIEW DR,IA,50021,41.703978,-93.571376,ANKENY
29,5057,4,1241,74706.84,2,1,2,212,1,5057,2022-11-01,KUM & GO #535 / DES MOINES,A,4960 E BROADWAY AVE,IA,50317,,,DES MOINES
30,5082,3,453,52127.24,1,3,3,133,1,5082,2022-11-01,CASEY'S GENERAL STORE #2365 / ATLANT,A,911 SW 7TH ST,IA,50022,41.401431,-95.028313,ATLANTIC
31,6106,10,49,5525.7,3,4,4,344,1,6106,2022-11-01,MOES MART #4 / COUNCIL BLUFFS,A,2024 5TH AVE,IA,51501,41.25712,-95.874965,COUNCIL BLUFFS
32,5297,10,216,34696.18,3,4,3,343,1,5297,2022-11-01,YESWAY STORE # 10018/ WEBSTER CITY,A,1803 SUPERIOR ST,IA,50595,42.459531,-93.815845,WEBSTER CITY
33,4236,5,771,133892.43,2,2,2,222,1,4236,2022-11-01,FAREWAY STORES #551 / EAGLE GROVE,A,205 NW  1ST ST,IA,50533,42.665165,-93.903801,EAGLE GROVE
34,5408,13,184,28085.44,4,4,4,444,1,5408,2022-11-01,CASEY'S GENERAL STORE # 1441/ MARSHALLTOWN,A,1402 S 12TH AVE,IA,50158,42.031757,-92.893431,MARSHALLTOWN
35,5234,14,277,40762.44,4,3,3,433,1,5234,2022-11-01,CASEY'S GENERAL STORE #3473 / DUBUQU,A,"1072, CEDAR CROSS RD",IA,52003,42.478563,-90.708156,DUBUQUE
36,3652,20,96,16043.2,4,4,4,444,1,3652,2022-11-01,DISCOUNT LIQUORS OF IDA GROVE,A,604 W 2ND,IA,51445,42.063517,-94.876368,IDA GROVE
37,6033,13,174,26585.59,4,4,4,444,1,6033,2022-11-01,CASEY'S GENERAL STORE #2477 / LE MARS,A,101 5TH AVE SW,IA,51031,42.791494,-96.173748,LE MARS
38,3993,6,2663,359027.15,3,1,1,311,1,3993,2022-11-01,NEW STAR LIQUOR / W 4TH S / WATERLOO,A,1625 WEST 4TH ST,IA,50701,42.484351,-92.356479,WATERLOO
39,5450,17,487,32846.54,4,3,3,433,1,5450,2022-11-01,CASEY'S GENERAL STORE # 2211/ FORT DODGE,A,2007 N 15TH STREET,IA,50501,42.526955,-94.177992,FORT DODGE
40,5052,3,653,65320.58,1,2,2,122,1,5052,2022-11-01,CASEY'S GENERAL STORE #3220 / GREENF,A,"302, SE 6TH ST",IA,50849,41.303367,-94.453264,GREENFIELD
