Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,longitude,latitude,City
2130,4,2764,1157402.66,2,1,1,211,0,2130,2022-11-01,SYCAMORE CONVENIENCE,A,617 SYCAMORE,IA,50703,-92.335358,42.497854,WATERLOO
4898,0,908,77280.94,1,2,2,122,0,4898,2022-11-01,BURLINGTON SHELL,A,130 S ROOSEVELT AVE,IA,52601,-91.140986,40.808239,BURLINGTON
4306,0,1365,68260.5,1,1,2,112,0,4306,2022-11-01,NORTHSIDE ONE STOP / HAMPTON,A,1208  4TH ST NE,IA,50441,-93.202452,42.753008,HAMPTON
5813,0,648,60204.75,1,2,2,122,0,5813,2022-11-01,CASEY'S GENERAL STORE #2791 / CEDAR RAPIDS,A,9125 ATLANTIC DR SW,IA,52404,-91.679307,41.8913,CEDAR RAPIDS
5944,49,86,12492.6,4,4,4,444,2,5944,2022-11-01,CEDAR RAPIDS BP,I,2330 WILEY BLVD,IA,52404,-91.725833,41.956137,CEDAR RAPIDS
5878,7,283,29139.61,3,3,4,334,0,5878,2022-11-01,HOMETOWN FOODS - HUBBARD,A,210 E MAPLE ST,IA,50122,-93.298265,42.305556,HUBBARD
5759,10,229,25741.16,3,4,4,344,0,5759,2022-11-01,CASEY'S GENERAL STORE #42 / WELLMAN,A,700 6TH ST,IA,52356,-91.836968,41.467439,WELLMAN
5625,10,1063,61165.13,3,2,2,322,0,5625,2022-11-01,OASIS / DES MOINES,A,5120 NE 14TH ST,IA,50313,-93.60054,41.653002,DES MOINES
6256,3,2691,265158.32,1,1,1,111,0,6256,2022-11-01,821 SQ LIQUOR / DES MOINES,A,821 EAST EUCLID AVENUE,IA,50316,-93.607565,41.627722,DES MOINES
9042,3,79,48830.4,1,4,3,143,0,9042,2022-11-01,"AMERICAN HERITAGE DISTILLERS, LLC",I,PO BOX 1317,IA,51301,,,SPENCER
4893,4,631,75505.23,2,2,2,222,0,4893,2022-11-01,CASEY'S GENERAL STORE #3098 / WDM,A,105 GRAND AVE,IA,50265,-93.703789,41.582697,WEST DES MOINES
2248,4,3411,442750.57,2,1,1,211,3,2248,2022-11-01,INGERSOLL LIQUOR AND BEVERAGE,A,3500 INGERSOLL AVE,IA,50312,-93.664564,41.586323,DES MOINES
5873,0,2376,289712.04,1,1,1,111,0,5873,2022-11-01,WEST D LIQUORS,A,5014 EP TRUE PKWY,IA,50265,-93.772906,41.572094,WEST DES MOINES
5252,3,1095,108204.82,1,2,2,122,0,5252,2022-11-01,FREEMAN FOODS OF NORTH ENGLISH,A,"119, MAIN ST",IA,52316,-92.166582,41.575084,NORTH ENGLISH
4504,13,410,49025.29,4,3,3,433,0,4504,2022-11-01,JIFFY EXPRESS #921 / INDIANOLA,A,311 NORTH JEFFERSON,IA,50125,,,INDIANOLA
5489,12,335,33368.43,4,3,3,433,0,5489,2022-11-01,CASEY'S GENERAL STORE #1550 / WINFIELD,A,201 N LOCUST,IA,52659,-91.43791,41.129927,WINFIELD
5481,0,1094,279115.62,1,2,1,121,0,5481,2022-11-01,TOBACCO OUTLET & LIQUOR,A,1545 1ST AVE SE,IA,52402,-91.650633,41.989033,CEDAR RAPIDS
6102,34,363,47277.2,4,3,3,433,0,6102,2022-11-01,BREW OIL #53 / SIBLEY,A,1026 2ND AVE,IA,51249,-95.752119,43.39743,SIBLEY
5681,6,1091,94494.37,3,2,2,322,0,5681,2022-11-01,QUICK CORNER / HAWARDEN,A,901 10TH ST,IA,51023,-96.482036,42.9968,HAWARDEN
5810,5,382,36004.07,2,3,3,233,0,5810,2022-11-01,CASEY'S GENERAL STORE #2576 / WHAT CHEER,A,410 S BARNES ST,IA,50268,-92.354652,41.398987,WHAT CHEER
5537,20,461,39160.78,4,3,3,433,0,5537,2022-11-01,PRONTO MARKET / SUMNER,A,117 W 1ST ST,IA,50674,-92.098713,42.847481,SUMNER
5964,10,285,44899.24,3,3,3,333,0,5964,2022-11-01,CASEY'S GENERAL STORE #3032 / CHARITON,A,335 N MAIN ST,IA,50049,-93.308367,41.017872,CHARITON
6267,3,1502,144859.5,1,1,2,112,0,6267,2022-11-01,POLK CITY LIQUOR / POLK CITY,A,201 NORTH 3RD STREET,IA,50226,-93.712741,41.77284,POLK CITY
2551,3,3987,442216.91,1,1,1,111,3,2551,2022-11-01,HY-VEE FOOD STORE / CHARITON,A,2001 WEST COURT,IA,50049,,,CHARITON
6082,3,1252,81978.94,1,1,2,112,0,6082,2022-11-01,CASEY'S #2654 / STUART,A,708 S DIVISION ST,IA,50250,-94.318487,41.496321,STUART
5740,3,1242,147069.85,1,1,2,112,0,5740,2022-11-01,NEW STAR / KNOXVILLE,A,901 WEST PLEASANT ST,IA,50138,-93.107835,41.320745,KNOXVILLE
4321,6,633,66920.79,3,2,2,322,0,4321,2022-11-01,FAREWAY STORES #501 / CHARLES CITY,A,210 11TH STREET,IA,50616,-92.674449,43.052712,CHARLES CITY
5858,17,332,46985.22,4,3,3,433,0,5858,2022-11-01,TAYLOR QUIK PIK - SHELBY,A,12 EAST STREET,IA,51570,-95.450952,41.506035,SHELBY
