index,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction
798,4521,21,226,32795.23,4,4,3,443,0
799,5056,10,225,38461.71,3,4,3,343,0
800,5205,0,845,37451.23,1,2,3,123,0
801,5563,0,1117,83406.77,1,2,2,122,0
802,6062,17,374,30515.8,4,3,4,434,0
803,5683,6,288,39661.83,3,3,3,333,0
804,10040,13,75,4363.53,4,4,4,444,0
805,5927,130,143,34361.85,4,4,3,443,2
806,5396,6,498,50590.19,3,3,3,333,0
807,4694,0,985,167180.8,1,2,1,121,0
808,4713,41,210,9502.13,4,4,4,444,0
809,2575,4,1322,201962.63,2,1,1,211,0
810,5951,3,391,69708.83,1,3,2,132,0
811,4973,6,1235,161306.22,3,1,1,311,0
812,6294,53,147,23451.44,4,4,4,444,2
813,4599,4,1721,89711.73,2,1,2,212,0
814,5331,13,344,38994.02,4,3,3,433,0
815,5902,0,894,137880.31,1,2,2,122,0
816,6070,0,219,13924.13,1,4,4,144,0
817,2843,26,224,28821.54,4,4,4,444,0
818,5675,83,44,4381.08,4,4,4,444,2
819,4781,0,247,38807.19,1,4,3,143,0
820,4967,0,2657,103463.02,1,1,2,112,0
821,2657,3,773,53531.72,1,2,3,123,0
822,5512,3,340,39806.85,1,3,3,133,0
823,3757,4,2799,503551.19,2,1,1,211,0
824,6206,6,2051,218173.2,3,1,1,311,0
825,5658,31,133,22223.38,4,4,4,444,0
826,3420,5,2470,2843324.71,2,1,1,211,3
827,4970,0,1051,72676.73,1,2,2,122,0
828,4677,0,731,2018944.37,1,2,1,121,0
829,4899,12,764,55146.25,4,2,3,423,0
830,4885,0,322,34954.3,1,3,3,133,0
831,4635,21,305,43416.81,4,3,3,433,0
832,6086,11,135,14084.24,3,4,4,344,0
833,5996,12,139,23341.67,4,4,4,444,0
834,3877,4,787,174397.2,2,2,1,221,0
835,2613,3,5438,1145277.71,1,1,1,111,3
836,4627,12,348,44133.47,4,3,3,433,0
837,5144,5,1961,2259136.27,2,1,1,211,0
838,3563,0,1628,253302.22,1,1,1,111,0
839,5532,0,246,36161.93,1,4,3,143,0
840,5314,0,2740,106167.13,1,1,2,112,0
841,3910,3,459,112187.45,1,3,2,132,0
842,4318,3,1286,162466.65,1,1,1,111,0
843,4374,3,1184,45134.72,1,2,3,123,0
844,5203,6,634,55471.59,3,2,3,323,0
845,5838,11,160,25266.46,3,4,4,344,0
846,5860,4,681,47753.99,2,2,3,223,0
847,4384,3,531,46712.27,1,3,3,133,0
848,5789,3,289,40347.7,1,3,3,133,0
849,6083,5,1093,141286.17,2,2,2,222,0
850,4459,5,1084,52660.78,2,2,3,223,0
851,2687,0,284,32081.09,1,3,3,133,0
852,5277,13,433,45781.59,4,3,3,433,0
853,3626,4,1666,295132.04,2,1,1,211,0
854,2625,0,5471,1330122.63,1,1,1,111,3
855,4983,3,158,22202.83,1,4,4,144,0
856,4656,4,457,52879.57,2,3,3,233,0
857,5264,12,494,68204.47,4,3,2,432,0
858,5555,0,974,124626.0,1,2,2,122,0
859,5898,48,86,12098.11,4,4,4,444,2
860,5832,21,75,10689.05,4,4,4,444,0
861,4706,42,52,11508.62,4,4,4,444,0
862,4535,7,456,62662.23,3,3,2,332,0
863,3713,4,1974,356980.78,2,1,1,211,0
864,4785,3,793,72646.06,1,2,2,122,0
865,5569,10,524,58722.13,3,3,2,332,0
866,2844,34,201,20325.64,4,4,4,444,0
867,3540,6,892,194361.15,3,2,1,321,0
868,5065,13,339,22209.43,4,3,4,434,0
869,6133,10,363,25555.74,3,3,4,334,0
870,5342,10,720,89193.64,3,2,2,322,0
871,2621,4,8149,1111296.14,2,1,1,211,3
872,6076,0,1118,189546.0,1,2,1,121,0
873,4382,4,1111,75860.67,2,2,2,222,0
874,4556,5,276,36635.62,2,3,3,233,0
875,5439,5,779,30080.89,2,2,4,224,0
876,5861,4,381,51216.46,2,3,3,233,0
877,5380,69,762,59738.26,4,2,2,422,2
878,5265,87,76,14009.67,4,4,4,444,2
879,5728,6,2123,405519.9,3,1,1,311,0
880,2661,6,3163,434891.79,3,1,1,311,0
881,2465,0,4402,725076.67,1,1,1,111,3
882,4960,0,863,287985.52,1,2,1,121,0
883,5973,6,264,27375.62,3,3,4,334,0
884,5562,17,289,43612.98,4,3,3,433,0
885,5529,0,316,20922.1,1,3,4,134,0
886,6244,62,248,28878.72,4,4,4,444,2
887,5862,235,60,4192.38,4,4,4,444,1
888,4184,0,808,108527.21,1,2,2,122,0
889,2500,5,4562,897830.01,2,1,1,211,3
890,2566,3,2004,341499.32,1,1,1,111,0
891,4641,3,957,92170.94,1,2,2,122,0
892,5975,3,391,41488.09,1,3,3,133,0
893,6166,178,748,74814.55,4,2,2,422,1
894,4551,17,523,55456.28,4,3,3,433,0
895,4720,10,383,57024.03,3,3,2,332,0
896,5217,3,148,12034.67,1,4,4,144,0
897,4779,3,222,38947.66,1,4,3,143,0
898,3917,5,1840,98540.47,2,1,2,212,0
899,6032,14,284,29806.89,4,3,4,434,0
900,10059,12,18,3849.14,4,4,4,444,0
901,2502,3,8685,1805732.97,1,1,1,111,3
902,5484,4,408,60372.87,2,3,2,232,0
903,4697,6,1403,398134.09,3,1,1,311,0
904,6126,3,1329,182061.7,1,1,1,111,0
905,5968,10,267,30840.55,3,3,4,334,0
906,6085,31,270,19931.4,4,3,4,434,0
907,5667,28,133,17197.44,4,4,4,444,0
908,2635,0,5650,1249410.54,1,1,1,111,3
909,5612,13,243,32512.56,4,4,3,443,0
910,4231,6,1009,216248.69,3,2,1,321,0
911,4981,20,251,29496.47,4,4,4,444,0
912,5989,13,400,25028.25,4,3,4,434,0
913,6071,0,540,127760.95,1,3,2,132,0
914,5209,35,121,19885.92,4,4,4,444,0
915,3896,230,263,12992.78,4,3,4,434,1
916,6054,6,1637,335076.86,3,1,1,311,0
917,4191,5,604,86570.97,2,2,2,222,0
918,6051,3,245,33126.5,1,4,3,143,0
919,5716,0,552,45732.01,1,3,3,133,0
920,4385,13,686,35196.14,4,2,3,423,0
921,4902,6,1104,145293.59,3,2,2,322,0
922,4275,3,949,212049.18,1,2,1,121,0
923,4346,3,1866,94465.64,1,1,2,112,0
924,4368,4,547,49254.28,2,3,3,233,0
925,4596,3,1341,54227.8,1,1,3,113,0
926,4811,3,261,34098.12,1,4,3,143,0
927,6050,3,469,43726.42,1,3,3,133,0
928,5963,12,342,35121.32,4,3,3,433,0
929,5417,0,982,93198.36,1,2,2,122,0
930,5827,5,282,46229.03,2,3,3,233,0
931,4571,21,295,43286.81,4,3,3,433,0
932,5483,123,132,10691.11,4,4,4,444,2
933,4301,0,1622,414298.84,1,1,1,111,0
934,4169,3,5029,349070.07,1,1,1,111,3
935,5558,3,435,52390.7,1,3,3,133,0
936,4643,10,117,24159.68,3,4,4,344,0
