City,Bottle Size,Avg Growth Rate
BLUE GRASS,l,0.2872231441012221
OKOBOJI,l,0.28683193761952286
STANTON,m,0.28639581398588815
ST CHARLES,m,0.28632835635069787
CLINTON,s,0.28622908462807994
GILMORE CITY,s,0.2861708517069699
LOVILIA,m,0.2861585889688605
ARLINGTON,m,0.28582081386149477
WALFORD,s,0.2853971973812737
ALBION,s,0.285351921454633
MONTROSE,m,0.2851763559737573
PRAIRIE CITY,m,0.2837080636906925
HARTLEY,s,0.2824434178411352
LAKE PARK,l,0.2819001776140973
CLARINDA,s,0.28148932461180953
CORRECTIONVILLE,l,0.28014901225676586
CLEAR LAKE,s,0.2800372598659005
BOONE,s,0.27987641505458827
DURANT,s,0.2779422349025268
STATE CENTER,s,0.2778096073200316
TREYNOR,s,0.27685936484990065
PACIFIC JUNCTION,m,0.27683990546192544
MIDDLETOWN,s,0.2758042155282724
GLIDDEN,m,0.27442702208257114
ROCKWELL CITY,s,0.27426002890873885
NORWAY,l,0.2739875208009391
HAZLETON,l,0.27302086808319453
REDFIELD,l,0.2716183427184185
LA PORTE CITY,s,0.2714172391745584
ALLERTON,l,0.2713280562884784
WEST BRANCH,m,0.2709306170583085
MONROE,m,0.2706227932274898
EDGEWOOD,s,0.27008681790492256
FARLEY,s,0.26928363519451204
HOLY CROSS,m,0.2691656836922104
NEW SHARON,s,0.2682127868148296
ROCKWELL,s,0.26791501769332515
HUXLEY,m,0.2675053129025288
MARION,s,0.26750405492222823
DELMAR,m,0.26742951737424664
DEXTER,m,0.2673184393335564
LATIMER,s,0.26725613246557195
SANBORN,s,0.2663269322180995
IOWA FALLS,s,0.26614102408836077
SHUEYVILLE,s,0.2654356436053289
OELWEIN,m,0.26498479144480946
HUMESTON,m,0.26397376066337686
POCAHONTAS,m,0.26373063989141243
VICTOR,m,0.2635684777614393
INDIANOLA,s,0.26329814704069104
WASHINGTON,s,0.26287172942419224
ROBINS,m,0.2624531568702291
SIGOURNEY,m,0.2623732498914229
OXFORD,m,0.26213596467625555
LARCHWOOD,m,0.2617255578846787
GOWRIE,m,0.2617002408857598
SHENANDOAH,s,0.2616160326111839
ANKENY,s,0.26143069537235947
PLEASANT HILL,s,0.26119483490466244
GRANGER,m,0.26055214489405376
ATLANTIC,s,0.2604001715019022
MEDIAPOLIS,m,0.25940944450649067
STRAWBERRY POINT,m,0.25904734063413515
IDA GROVE,s,0.2587591492643438
PALO,m,0.2587553521820381
TABOR,m,0.25868119522790217
POLK CITY,l,0.25828576688101385
BELLEVUE,m,0.258241271918442
POSTVILLE,l,0.2581228134801629
LOST NATION,m,0.25767286461532296
SHELDON,s,0.2563339376719967
WAVERLY,s,0.2557054831622425
PAULLINA,m,0.25531940050180113
NORWAY,m,0.25461032182201615
FLOYD,l,0.2532572729841452
CLARKSVILLE,m,0.25308993469410185
AFTON,m,0.25305565706332633
COLFAX,m,0.25298473347843436
OSCEOLA,m,0.2526115510936245
REINBECK,m,0.2526003641593136
PELLA,s,0.2525368349788106
ANITA,s,0.2518458106551746
PLEASANTVILLE,s,0.2517457859859908
RUNNELLS,m,0.2514478722172332
OAKLAND,m,0.2508545402267608
ZWINGLE,m,0.2506300892008158
MARTELLE,l,0.25060495542433714
WAUKON,m,0.2504291385863424
WINFIELD,m,0.250101282826035
SAC CITY,m,0.24978462375040333
COLO,m,0.24924750159462541
WHEATLAND,l,0.24904209440162586
BELLE PLAINE,m,0.24865694878008895
NEW SHARON,m,0.24839330887483957
GRAND JUNCTION,s,0.2469518861633028
DECORAH,m,0.24678617806308234
SHELBY,m,0.24674381046945273
MARTENSDALE,s,0.24567544322078402
CORNING,m,0.24421749081881491
LENOX,m,0.24280562011957255
DENISON,s,0.2413349120020043
POSTVILLE,m,0.24031769612033727
SHELBY,l,0.2402399093256093
FARMINGTON,l,0.23968057660654477
EAGLE GROVE,s,0.2391035336253949
VAN METER,m,0.23793993642319097
AUDUBON,m,0.23790558491458255
SULLY,l,0.2363451944508543
EVANSDALE,l,0.2363345924328537
PAULLINA,s,0.23594032842671755
SPRINGVILLE,m,0.23457676288664622
ALDEN,m,0.2337379323184794
NORA SPRINGS,s,0.23310374228264372
WEST DES MOINES,s,0.23198418116891073
TRURO,s,0.2319718400690023
ACKLEY,m,0.23088682795544824
FREMONT,l,0.2306891975917208
ROCK RAPIDS,m,0.23054124837415893
INWOOD,s,0.23046412141788172
NORTHWOOD,s,0.23021850079139652
SHEFFIELD,m,0.22993410525764524
DUBUQUE,s,0.22981065028826023
MOUNT VERNON,m,0.22887529065988596
CHARITON,s,0.2287506095867575
CARROLL,s,0.22852621781825289
KNOXVILLE,s,0.22727139487857664
MONTROSE,s,0.22684619554222915
ELKADER,m,0.22603769748995128
GRAND MOUNDS,l,0.22589477228030663
STATE CENTER,m,0.22572195060166508
MADRID,l,0.2254873543048137
SWEA CITY,m,0.22503534873046172
EARLY,l,0.22454958399313185
VINTON,l,0.22420408624038754
ELDRIDGE,s,0.22339193499382112
PRINCETON,s,0.22308597421715046
LAWLER,s,0.22249901973161848
MERRILL,l,0.2223072791321374
TIFFIN,s,0.22201757781938625
EMMETSBURG,m,0.22179047778911776
WINDSOR HEIGHTS,s,0.22162471038916295
NORWALK,m,0.2216052109447103
ESTHERVILLE,s,0.2214585143044164
SAGEVILLE,m,0.21977582028611975
CHARLES CITY,s,0.21964655501173205
CARTER LAKE,m,0.21953332676103657
ODEBOLT,l,0.21917156062132942
KINGSLEY,m,0.21901295757412434
INDEPENDENCE,s,0.21780714158672998
COUNCIL BLUFFS,m,0.2177205100226203
ADEL,m,0.2161669003493392
CARLISLE,m,0.21499077038810277
KEOSAUQUA,s,0.21494345328805933
DUNLAP,m,0.21415822293056097
NEVADA,s,0.21413604357084626
BLUE GRASS,s,0.21413523123977116
GRISWOLD,m,0.21363687288577915
BLUE GRASS,m,0.21347924740490062
ALBURNETT,l,0.2134779183351078
CENTERVILLE,s,0.2133227171525277
NORWALK,s,0.21201747789741043
NEWTON,m,0.21195257796461653
SLOAN,s,0.210988475299002
RIVERSIDE,s,0.21067563587431803
ANAMOSA,s,0.21005905266479222
OTTUMWA,s,0.20973356749356176
MARTENSDALE,l,0.20968851337742175
ALGONA,s,0.20912602492083854
HAWARDEN,s,0.20887796657674573
PERRY,m,0.2087485922963447
GUTHRIE CENTER,m,0.20863097793032903
AMES,s,0.2083617887066239
CRESCO,m,0.20815439572752129
NORTH ENGLISH,l,0.20802703102667083
LANSING,s,0.20798842300568762
MARENGO,m,0.20748628446900044
ROCKFORD,m,0.20728139385957675
GARNER,l,0.2072040046400292
RED OAK,m,0.20612817100384925
DYERSVILLE,m,0.20575123806070517
OTHO,s,0.20573258709199493
MAQUOKETA,m,0.20561680368147736
NORTHWOOD,m,0.20431332766819232
ONAWA,m,0.20379559468220418
SERGEANT BLUFF,s,0.20327790463333004
WEST DES MOINES,m,0.20225484285026488
MAPLETON,s,0.20224847210534655
DURANT,m,0.2011830551303286
CENTRAL CITY,s,0.2009432700150294
GOLDFIELD,m,0.19978009179473677
MISSOURI VALLEY,m,0.19970926671824762
MITCHELLVILLE,m,0.19731926258396495
MINDEN,s,0.19724331147685037
KEOKUK,s,0.19723598313147236
LAKE MILLS,s,0.19692961098039508
FORT DODGE,s,0.19662077975024117
GRUNDY CENTER,s,0.1965188407951491
TAMA,m,0.19603987589393165
WILTON,s,0.1948864711132091
NORTH ENGLISH,m,0.19328565686337726
GREENE,m,0.1930440938114977
SOLON,s,0.19304399067118827
FONDA,m,0.19218968226199554
FAIRFIELD,s,0.19131679260759982
AURELIA,s,0.19093195901753857
BRITT,m,0.18985471430767253
SLATER,s,0.18980024131825404
TIPTON,m,0.18871618968407533
SLOAN,m,0.18797130380814342
CENTRAL CITY,l,0.18734181015794601
CLIVE,m,0.18722970357746493
REMSEN,s,0.1870746674887954
PEOSTA,l,0.1867855890069271
ROCK VALLEY,s,0.18568537841263963
DOWS,m,0.18560282131766878
NEOLA,s,0.18556021126901792
MILFORD,s,0.1850800298801654
RUNNELLS,s,0.1850561791212587
OKOBOJI,s,0.1850172619055385
AKRON,l,0.18341634889031444
SPIRIT LAKE,s,0.18239343983769407
WINTHROP,m,0.1817982400336545
INDIANOLA,m,0.18172891490622112
